maritalstatus,weeklyhoursworked,salary,children,totalmarriages
Divorced,0,0,0,2
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,40,23000,0,0
Never married or under 15 years old,35,43800,0,0
Separated,0,0,0,1
Never married or under 15 years old,40,19000,2,0
Widowed,0,0,0,1
Never married or under 15 years old,30,3000,2,0
Widowed,0,0,0,1
Widowed,0,0,0,1
Never married or under 15 years old,30,2400,2,0
Widowed,0,0,0,1
Widowed,0,0,0,1
Divorced,0,0,0,1
Married,40,12800,0,1
Never married or under 15 years old,40,7000,0,0
Widowed,0,0,0,1
Widowed,0,0,0,1
Never married or under 15 years old,0,0,0,0
Divorced,0,0,0,3
Never married or under 15 years old,32,5000,0,0
Never married or under 15 years old,60,48000,0,0
Never married or under 15 years old,40,16800,0,0
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,0,0,0,0
Married,0,0,0,2
Widowed,0,0,0,1
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Divorced,0,0,0,2
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,40,45000,0,0
Never married or under 15 years old,32,3500,0,0
Never married or under 15 years old,40,0,2,0
Separated,0,0,0,2
Never married or under 15 years old,38,10000,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Divorced,36,0,2,1
Married,40,15000,0,1
Divorced,0,0,0,1
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,50,6000,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Married,0,0,0,1
Married,0,0,0,1
Never married or under 15 years old,0,0,0,0
Married,0,0,0,3
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Widowed,0,0,0,1
Never married or under 15 years old,30,810,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,38,114000,2,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Widowed,0,0,0,2
Never married or under 15 years old,0,0,0,0
Married,40,12800,0,1
Never married or under 15 years old,0,0,1,0
Never married or under 15 years old,60,40000,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,60,40000,0,0
Never married or under 15 years old,45,15000,0,0
Never married or under 15 years old,19,7500,0,0
Divorced,0,0,0,1
Never married or under 15 years old,40,18000,0,0
Divorced,0,0,0,1
Never married or under 15 years old,0,0,0,0
Married,40,25000,0,2
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,40,5000,2,0
Never married or under 15 years old,0,0,0,0
Widowed,0,0,0,1
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,40,18000,2,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,90,26000,0,0
Never married or under 15 years old,27,3000,2,0
Married,0,0,0,1
Separated,0,0,0,3
Never married or under 15 years old,20,1000,0,0
Never married or under 15 years old,0,0,0,0
Divorced,60,8400,0,1
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Divorced,0,0,0,3
Divorced,56,50000,0,1
Never married or under 15 years old,38,10000,0,0
Married,0,0,0,2
Never married or under 15 years old,8,2500,2,0
Separated,0,0,0,1
Never married or under 15 years old,40,18000,0,0
Divorced,0,0,0,1
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,2,0
Married,0,0,0,1
Divorced,0,0,0,1
Never married or under 15 years old,0,0,0,0
Widowed,0,0,0,1
Divorced,0,0,0,1
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,0,0,0
Separated,0,0,0,1
Never married or under 15 years old,40,1000,0,0
Widowed,0,0,0,1
Divorced,0,0,0,1
Widowed,0,0,0,2
Divorced,0,0,0,2
Never married or under 15 years old,0,0,0,0
Married,0,0,0,1
Never married or under 15 years old,60,40000,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,10,2000,0,0
Divorced,0,0,0,2
Separated,0,0,2,1
Never married or under 15 years old,40,120000,0,0
Divorced,0,0,0,1
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,0,0,0,0
Widowed,0,0,0,1
Never married or under 15 years old,0,0,2,0
Married,0,0,0,2
Never married or under 15 years old,40,5300,0,0
Widowed,0,0,0,1
Never married or under 15 years old,40,30000,0,0
Married,0,0,0,2
Never married or under 15 years old,40,30000,0,0
Divorced,0,0,0,1
Never married or under 15 years old,0,0,0,0
Married,0,0,0,2
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,35,10000,2,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Divorced,40,76000,0,1
Widowed,0,0,0,1
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Divorced,0,0,0,1
Never married or under 15 years old,40,36000,0,0
Married,0,0,0,1
Married,0,0,0,2
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,25,7000,0,0
Never married or under 15 years old,40,4800,0,0
Married,0,0,0,2
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,40,23000,0,0
Never married or under 15 years old,0,-1,0,0
Divorced,0,0,0,1
Never married or under 15 years old,0,0,0,0
Widowed,0,0,0,1
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,40,27000,0,0
Never married or under 15 years old,40,19800,2,0
Never married or under 15 years old,0,0,2,0
Married,0,0,0,2
Never married or under 15 years old,0,0,2,0
Divorced,0,0,0,1
Widowed,0,0,0,1
Never married or under 15 years old,40,4000,0,0
Divorced,0,0,0,1
Divorced,0,0,0,1
Married,0,0,0,1
Never married or under 15 years old,40,20000,0,0
Separated,0,0,2,1
Never married or under 15 years old,60,40000,0,0
Never married or under 15 years old,0,0,0,0
Widowed,0,0,0,1
Divorced,0,0,0,1
Married,2,150,0,2
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Divorced,0,0,0,1
Widowed,0,0,0,1
Married,0,0,0,1
Never married or under 15 years old,0,0,0,0
Widowed,0,0,0,1
Never married or under 15 years old,40,59000,0,0
Married,40,83000,0,1
Married,0,0,0,1
Married,40,35000,2,1
Married,45,70000,0,1
Widowed,0,0,0,2
Widowed,0,0,0,1
Never married or under 15 years old,20,13500,0,0
Divorced,0,0,0,1
Separated,0,0,0,3
Never married or under 15 years old,40,50000,0,0
Divorced,40,50000,0,2
Never married or under 15 years old,40,12000,0,0
Never married or under 15 years old,0,-1,0,0
Married,40,100000,0,1
Married,30,40000,2,1
Never married or under 15 years old,8,2000,0,0
Never married or under 15 years old,0,-1,0,0
Separated,40,120000,2,1
Married,0,0,0,2
Married,0,0,0,1
Married,40,20000,2,1
Never married or under 15 years old,40,46300,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Married,35,12200,0,1
Never married or under 15 years old,30,30000,0,0
Married,40,238000,0,2
Married,40,45000,0,3
Married,60,32000,0,1
Married,60,32000,2,1
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,40,35000,0,0
Divorced,25,20,0,1
Never married or under 15 years old,36,25000,2,0
Married,0,0,0,2
Married,0,0,0,1
Divorced,40,0,0,1
Never married or under 15 years old,30,10000,0,0
Married,0,0,0,1
Married,0,0,0,1
Never married or under 15 years old,40,54000,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,40,54000,2,0
Married,40,0,0,1
Married,0,0,0,1
Divorced,0,0,0,3
Married,0,0,0,1
Married,0,0,0,1
Married,40,48000,0,1
Married,0,0,2,1
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,30,15000,2,0
Never married or under 15 years old,55,40900,0,0
Married,8,0,0,1
Married,0,0,0,1
Never married or under 15 years old,0,0,0,0
Widowed,0,0,0,1
Married,60,45000,0,1
Married,0,0,1,1
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Married,40,118000,0,1
Married,0,0,2,1
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,0,0,0
Divorced,0,0,0,1
Married,20,70000,0,2
Married,40,36000,0,2
Widowed,0,0,0,2
Never married or under 15 years old,40,33100,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Divorced,0,0,0,2
Married,0,0,2,1
Married,40,30000,0,1
Never married or under 15 years old,10,1000,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Married,60,150000,0,1
Married,40,60000,2,1
Never married or under 15 years old,40,110000,0,0
Never married or under 15 years old,40,15000,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Never married or under 15 years old,0,0,0,0
Divorced,40,38000,0,1
Widowed,20,10000,0,1
Never married or under 15 years old,0,0,0,0
Widowed,0,0,0,1
Divorced,40,24000,0,2
Divorced,40,30000,0,2
Married,35,75000,2,1
Married,40,95000,0,2
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,0,-1,0,0
Divorced,40,44000,0,1
Widowed,0,0,0,2
Married,36,77000,0,1
Married,40,80000,2,2
Separated,60,97000,0,1
Never married or under 15 years old,35,10500,2,0
Never married or under 15 years old,0,-1,0,0
Married,40,43100,0,1
Married,18,6700,0,1
Never married or under 15 years old,45,70000,0,0
Never married or under 15 years old,40,55000,0,0
Never married or under 15 years old,40,22000,2,0
Married,40,38000,2,1
Married,40,21000,0,3
Never married or under 15 years old,0,-1,0,0
Never married or under 15 years old,40,4000,2,0
Never married or under 15 years old,40,60000,0,0
Never married or under 15 years old,34,10000,2,0
Never married or under 15 years old,40,35000,0,0
Divorced,40,40000,0,3
Never married or under 15 years old,8,4800,0,0
Never married or under 15 years old,35,18000,2,0
Never married or under 15 years old,40,20000,0,0
Married,40,40000,0,1
Married,0,0,0,2
Never married or under 15 years old,0,0,2,0
Never married or under 15 years old,0,0,0,0
Divorced,40,56000,2,1
Divorced,35,0,0,2
Never married or under 15 years old,60,27000,0,0
