,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate\
Alabama,US,8/7/20 4:35,32.3182,-86.9023,96592,1714,37923,56955,1,1969.984816,739784,11313,1.774474077,84000001,USA,15087.82557,11.712150074540334\
Alaska,US,8/7/20 4:35,61.3707,-152.4044,3483,25,1220,2238,2,476.1156183,261572,,0.717772036,84000002,USA,35756.10523,\
American Samoa,US,8/7/20 4:35,-14.271,-170.132,0,0,,0,60,0,1396,,,16,ASM,2508.941248,\
Arizona,US,8/7/20 4:35,33.7298,-111.4312,183656,4002,24531,155123,4,2523.191931,995864,14068,2.179073921,84000004,USA,13681.86179,7.659972992986889\
Arkansas,US,8/7/20 4:35,34.9697,-92.3731,47028,515,39555,6958,5,1558.351702,539836,3118,1.095092285,84000005,USA,17888.37181,6.630092710725525\
California,US,8/7/20 4:35,36.1162,-119.6816,541339,10021,,531318,6,1370.054527,8500463,,1.851150573,84000006,USA,21513.50229,\
Colorado,US,8/7/20 4:35,39.0598,-105.3111,49418,1852,5471,42095,8,858.1397029,565319,6536,3.747622324,84000008,USA,9816.720197,13.225950058683072\
Connecticut,US,8/7/20 4:35,41.5978,-72.7554,50245,4437,8721,37087,9,1409.28346,857098,10920,8.830729426,84000009,USA,24040.08429,21.733505821474772\
Delaware,US,8/7/20 4:35,39.3185,-75.5071,15365,587,8365,6413,10,1577.897725,192703,,3.820370973,84000010,USA,19789.49725,\
Diamond Princess,US,8/7/20 4:35,,,49,0,,49,88888,,,,0,84088888,USA,,\
District of Columbia,US,8/7/20 4:35,38.8974,-77.0268,12518,587,10094,1837,11,1773.718418,205983,,4.689247484,84000011,USA,29186.4388,\
Florida,US,8/7/20 4:35,27.7663,-81.6868,510389,7747,,502642,12,2376.363022,3857363,29515,1.517861866,84000012,USA,17959.82044,5.78284406599672\
Georgia,US,8/7/20 4:35,33.0406,-83.6431,204895,4026,,200869,13,1929.799726,1724762,20002,1.964908856,84000013,USA,16244.63865,9.762073257034091\
Grand Princess,US,8/7/20 4:35,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,\
Guam,US,8/7/20 4:35,13.4443,144.7937,411,5,321,85,66,250.2603073,23877,,1.216545012,316,GUM,14538.84515,\
Hawaii,US,8/7/20 4:35,21.0943,-157.4983,2914,29,1402,1483,15,205.8095647,134909,214,0.995195607,84000015,USA,9528.33307,7.3438572409059715\
Idaho,US,8/7/20 4:35,44.2405,-114.4788,23401,223,8207,14971,16,1309.46552,194593,931,0.952950729,84000016,USA,10888.97158,3.978462458869279\
Illinois,US,8/7/20 4:35,40.3495,-88.9861,189705,7791,,181914,17,1497.061867,2939030,,4.106902823,84000017,USA,23193.43053,\
Indiana,US,8/7/20 4:35,39.8494,-86.2583,71015,3013,53301,14701,18,1054.852791,804345,9267,4.242765613,84000018,USA,11947.69511,13.049355769907766\
Iowa,US,8/7/20 4:35,42.0115,-93.2105,47559,912,35548,11099,19,1507.383354,503120,,1.917618116,84000019,USA,15946.39739,\
Kansas,US,8/7/20 4:35,38.5266,-96.7265,29617,378,1254,27985,20,1016.608577,308718,1821,1.27629402,84000020,USA,10596.79801,6.148495796333187\
Kentucky,US,8/7/20 4:35,37.6681,-84.6701,33254,760,8523,23971,21,744.324842,632444,3924,2.285439346,84000021,USA,14156.0047,11.800084200396945\
Louisiana,US,8/7/20 4:35,31.1695,-91.8678,127246,4146,89083,34017,22,2737.18302,1484972,,3.258255662,84000022,USA,31943.16634,\
Maine,US,8/7/20 4:35,44.6939,-69.3819,3999,124,3475,400,23,297.4977161,180916,390,3.100775194,84000023,USA,13458.88893,9.752438109527382\
Maryland,US,8/7/20 4:35,39.0639,-76.8021,93005,3551,5790,83664,24,1538.371201,992141,12978,3.818074297,84000024,USA,16410.74288,13.954088489866136\
Massachusetts,US,8/7/20 4:35,42.2302,-71.5301,119874,8691,99021,12162,25,1739.19402,1271218,12007,7.250112618,84000025,USA,18443.48853,10.016350501359762\
Michigan,US,8/7/20 4:35,43.3266,-84.5361,94656,6506,60022,28128,26,947.805701,2006578,,6.873309669,84000026,USA,20092.18716,\
Minnesota,US,8/7/20 4:35,45.6945,-93.9002,58640,1677,51604,5359,27,1039.784156,899480,5421,2.859822647,84000027,USA,15949.26761,9.244542974079128\
